k,t,accrual,cashflow,coupon,df,pv
1,0.5,0.5,25.0,25.0,0.970873786407767,24.271844660194176
2,1.0,0.5,25.0,25.0,0.9425959091337544,23.56489772834386
3,1.5,0.5,25.0,25.0,0.9151416593531595,22.878541483828986
4,2.0,0.5,25.0,25.0,0.8884870479156888,22.21217619789222
5,2.5,0.5,25.0,25.0,0.8626087843841639,21.565219609604096
6,3.0,0.5,25.0,25.0,0.8374842566836542,20.937106417091357
7,3.5,0.5,25.0,25.0,0.8130915113433536,20.327287783583838
8,4.0,0.5,25.0,25.0,0.7894092343139355,19.73523085784839
9,4.5,0.5,25.0,25.0,0.7664167323436267,19.160418308590668
10,5.0,0.5,25.0,25.0,0.7440939148967249,18.60234787241812
11,5.5,0.5,25.0,25.0,0.722421276598762,18.06053191496905
12,6.0,0.5,25.0,25.0,0.7013798801929728,17.53449700482432
13,6.5,0.5,25.0,25.0,0.6809513399931775,17.023783499829438
14,7.0,0.5,25.0,25.0,0.6611178058186189,16.527945145465473
15,7.5,0.5,25.0,25.0,0.6418619473967174,16.046548684917937
16,8.0,0.5,25.0,25.0,0.6231669392201139,15.579173480502847
17,8.5,0.5,25.0,25.0,0.6050164458447708,15.12541114611927
18,9.0,0.5,25.0,25.0,0.5873946076162823,14.684865190407056
19,9.5,0.5,25.0,25.0,0.5702860268119245,14.257150670298113
20,10.0,0.5,1025.0,25.0,0.5536757541863345,567.5176480409929
